Firename_year,Year,Region,Ranger_unit,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Firefighter_fatalities,Damaged_structures,Civilian_fatalities,Incident_number,Ranger_unit2,National_forest,County,County2,County3,DPA2,Fire_name2
SISKIYOU / BLUE 2 COMPLEX_2008,2008,NA,NA,SISKIYOU / BLUE 2 COMPLEX,6/21/08,NA,USFS,NA,82186,T,Lightning,0,1,0,0,KNF-2975,NA,NA,Siskiyou,NA,NA,NA,NA
YUBA RIVER COMPLEX_2008,2008,NA,NA,YUBA RIVER COMPLEX,6/21/08,7/15/08,USFS,NA,4254,TB,Lightning,0,0,0,0,TNF-1015,NA,NA,Yuba,Nevada,Sierra,NA,NA
WHISKEYTOWN COMPLEX_2008,2008,NA,NA,WHISKEYTOWN COMPLEX,6/21/08,7/19/08,NPS,NA,6420,TB,Lightning,0,0,0,0,WNP-1095,NA,NA,Shasta,NA,NA,NA,NA
DEERHORN_2008,2008,NA,NA,DEERHORN,9/8/08,9/14/08,USFS,NA,381,TBG,Undetermined,0,0,0,0,HIA-220,NA,NA,Humboldt,NA,NA,NA,NA
ROBLAR_2008,2008,NA,NA,ROBLAR,9/25/08,9/29/08,MIL,NA,400,B,Misc,0,0,0,0,MCP-08-2515,NA,NA,San Diego,NA,NA,NA,NA
NOVEMBER_2008,2008,NA,NA,NOVEMBER,10/8/08,10/9/08,MIL,NA,1400,GB,Human,0,0,0,0,MCP-2640,NA,NA,San Diego,NA,NA,NA,NA
JULIETT_2008,2008,NA,NA,JULIETT,10/13/08,10/17/08,MIL,NA,4026,BG,Undetermined,0,0,0,0,MCP-2699,NA,NA,San Diego,NA,NA,NA,NA
WAWONA NW_2008,2008,NA,NA,WAWONA NW,10/14/08,10/19/08,NP,NA,450,T,Human,0,0,0,0,YNP-764,NA,NA,Mariposa,NA,NA,NA,NA
YANKEE_2009,2009,NA,NA,YANKEE,7/11/09,7/14/09,MIL,NA,2200,BG,Unidentified,0,0,0,0,MCP-091662,NA,NA,San Diego,NA,NA,NA,NA
BROWN (H-31)_2009,2009,NA,NA,BROWN (H-31),8/2/09,8/12/09,USFS,NA,1865,T,Lightning,0,0,0,0,LNF-3874,NA,NA,Shasta,NA,NA,NA,NA
CHILDS_2010,2010,NA,NA,CHILDS,6/5/10,6/5/10,CALFIRE,462,NA,G,Human,0,0,0,0,MMU-007933,NA,NA,Merced,NA,NA,NA,NA
WHITES_2010,2010,NA,NA,WHITES,6/7/10,6/7/10,CALFIRE,350,NA,G,Equipment use,0,0,0,0,FKU-006047,NA,NA,Fresno,NA,NA,NA,NA
BULLARDS_2010,2010,NA,NA,BULLARDS,8/27/10,9/13/10,CALFIRE,1500,NA,G,Other,0,0,0,0,NEU-8316,NA,NA,Nevada,NA,NA,NA,NA
ALISO_2010,2010,NA,NA,ALISO,7/13/10,7/15/10,MIL,NA,3225,BG,Misc,0,0,0,0,MCP-2054,NA,NA,San Diego,NA,NA,USFS,NA
REST_2011,2011,NA,NA,REST,6/26/11,6/27/11,CDF,575,NA,G,Other,0,0,0,0,MMU-009446,NA,NA,Merced,NA,NA,NA,NA
