Firename_year,Fire_year_month,Fire_year,Region,Ranger_unit,Ranger_unit2,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities,Start_month
GORDA-RAT_1985,GORDA-RAT_1985_7,1985,V,San Benito-Monterey,NA,GORDA-RAT,1985-07-06,1985-07-19,USFS,NA,55889,BG,Lightning,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
CHERRY_1985,CHERRY_1985_7,1985,V,San Benito-Monterey,NA,CHERRY,1985-07-08,1985-07-15,CDF,31041,9190,WBG,Arson,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
LAS PILITAS_1985,LAS PILITAS_1985_7,1985,V,San Luis Obispo,NA,LAS PILITAS,1985-07-01,1985-07-10,CDF,49375,25265,WBG,Equipment use,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
HWY 58 #2_1985,HWY 58 #2_1985_7,1985,V,San Luis Obispo,NA,HWY 58 #2,1985-07-22,1985-07-22,CDF,700,NA,BG,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
LEXINGTON_1985,LEXINGTON_1985_7,1985,V,Santa Clara,NA,LEXINGTON,1985-07-09,1985-07-13,CDF,13800,NA,TBG,Arson,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
FINLEY_1985,FINLEY_1985_7,1985,V,Santa Clara,NA,FINLEY,1985-07-08,1985-07-10,CDF,2250,NA,WBG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
ONION_1985,ONION_1985_7,1985,VI,Owens Valley,NA,ONION,1985-07-06,1985-07-09,BLM,300,9500,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
OWENS_1985,OWENS_1985_8,1985,VI,Owens Valley,NA,OWENS,1985-08-08,1985-08-10,USFS,160,3580,BG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
CABAZON_1985,CABAZON_1985_6,1985,VI,Riverside,NA,CABAZON,1985-06-27,1985-07-07,CDF,3111,17269,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
GAVALIN_1985,GAVALIN_1985_7,1985,VI,Riverside,NA,GAVALIN,1985-07-02,1985-07-02,CDF,473,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
ORCO ASSIST_1985,ORCO ASSIST_1985_7,1985,VI,Riverside,NA,ORCO ASSIST,1985-07-02,1985-07-03,CC,750,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
SKINNER_1985,SKINNER_1985_8,1985,VI,Riverside,NA,SKINNER,1985-08-08,1985-08-10,CDF,978,NA,G,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
SHELL_1985,SHELL_1985_8,1985,VI,Riverside,NA,SHELL,1985-08-11,1985-08-13,CC,NA,1440,BG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
PALA_1985,PALA_1985_9,1985,VI,Riverside,NA,PALA,1985-09-14,1985-09-14,CDF,325,NA,B,Arson,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
SOUTH MOUNTAIN_1985,SOUTH MOUNTAIN_1985_6,1985,VI,Ventura County,NA,SOUTH MOUNTAIN,1985-06-30,1985-07-03,CC,NA,600,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
WHEELER_1985,WHEELER_1985_7,1985,VI,Ventura County,Los Padres,WHEELER,1985-07-01,1985-07-14,CC,NA,120000,B,Arson,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
PARSONS_1985,PARSONS_1985_7,1985,VI,San Bernardino,NA,PARSONS,1985-07-03,1985-07-04,CDF,1170,NA,B,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
BLACK MOUNTAIN_1985,BLACK MOUNTAIN_1985_7,1985,VI,Ventura County,NA,BLACK MOUNTAIN,1985-07-03,1985-07-05,CC,NA,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
ARCHIBALD_1985,ARCHIBALD_1985_10,1985,VI,San Bernardino,NA,ARCHIBALD,1985-10-05,1985-10-07,CDF,500,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
PIONEER_1985,PIONEER_1985_10,1985,VI,Ventura County,NA,PIONEER,1985-10-14,1985-10-16,CC,NA,1200,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
FERNDALE_1985,FERNDALE_1985_10,1985,VI,Ventura County,NA,FERNDALE,1985-10-14,1985-10-20,CC,NA,33890,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
DECKER_1985,DECKER_1985_10,1985,VI,Los Angeles County,NA,DECKER,1985-10-14,1985-10-17,CC,NA,11000,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
HUMMINGBIRD_1985,HUMMINGBIRD_1985_10,1985,VI,Ventura County,NA,HUMMINGBIRD,1985-10-14,1985-10-16,CC,NA,1600,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
GLEASON_1985,GLEASON_1985_10,1985,VI,Angeles NF,NA,GLEASON,1985-10-14,1985-10-16,USFS,NA,1200,B,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
MILLER_1985,MILLER_1985_6,1985,VI,San Diego,NA,MILLER,1985-06-30,1985-07-01,CDF,8000,NA,B,Debris,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
GOPHER_1985,GOPHER_1985_7,1985,VI,San Diego,NA,GOPHER,1985-07-01,1985-07-03,CDF,1200,NA,B,Misc,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
ROBLAR_1985,ROBLAR_1985_7,1985,VI,San Diego,NA,ROBLAR,1985-07-01,1985-07-05,MILITARY,1225,7200,BGA,Weapons,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
DEER_1985,DEER_1985_7,1985,VI,San Diego,NA,DEER,1985-07-02,1985-07-02,CDF,380,140,B,Arson,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
SYCAMORE_1985,SYCAMORE_1985_7,1985,VI,San Diego,NA,SYCAMORE,1985-07-27,1985-07-27,CDF,1060,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
ASSIST #38_1985,ASSIST #38_1985_10,1985,VI,San Diego,NA,ASSIST #38,1985-10-05,1985-10-06,MILITARY,NA,1200,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
KNOPKI_1986,KNOPKI_1986_7,1986,I,Six Rivers NF,NA,KNOPKI,1986-07-15,NA,USFS,NA,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
SITES_1986,SITES_1986_11,1986,I,Lake-Napa,NA,SITES,1986-11-10,1986-11-10,CDF,1600,NA,WG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
USFS ASSIST #10_1986,USFS ASSIST #10_1986_11,1986,II,Nevada-Yuba-Placer,NA,USFS ASSIST #10,1986-11-03,1986-11-04,USFS,NA,400,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
TAMARACK_1986,TAMARACK_1986_8,1986,II,Shasta-Trinity,NA,TAMARACK,1986-08-27,1986-08-27,CDF,450,NA,T,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
COLORADO #2_1986,COLORADO #2_1986_4,1986,III,Riverside,NA,COLORADO #2,1986-04-13,1986-04-13,BIA,1800,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
GALVIN_1986,GALVIN_1986_5,1986,III,Riverside,NA,GALVIN,1986-05-17,1986-05-18,CDF,602,NA,B,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
WILMONT_1986,WILMONT_1986_5,1986,III,Riverside,NA,WILMONT,1986-05-29,1986-05-29,CDF,1425,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
POWERLINE_1986,POWERLINE_1986_4,1986,III,Riverside,NA,POWERLINE,1986-04-26,1986-04-27,LOCAL,NA,400,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
SCOUT_1986,SCOUT_1986_5,1986,III,San Bernardino,NA,SCOUT,1986-05-17,1986-05-17,CDF,900,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
