Year,FIRE_NAME,EXPECT_MATCH_2,DPA,Ranger_unit,County,Start,Contained,CDF_acres_burned,Other_acres_burned,Region,Ranger_unit2,County2,County3,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
1979,WILL,,USFS,Plumas NF,NA,9/18/1979,9/21/1979,720,2460,II,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,WOODLAKE MTN.,,CDF,Tulare,NA,7/9/1979,7/9/1979,1900,0,IV,NA,NA,NA,G,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1979,WOODRUFF,,CDF,Mendocino,NA,9/16/1979,9/18/1979,520,0,I,NA,NA,NA,TBG,Arson,1,NA,NA,NA,NA,NA,NA,NA
1979,YUCCA LOMA,,BLM,San Bernardino,NA,11/5/1979,11/6/1979,3000,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1980,ALHAMBRA SERIES 1-7,,CDF,Santa Clara,NA,8/8/1980,8/8/1980,523,0,V,NA,NA,NA,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1980,ALMOND,1,BLM,San Bernardino,NA,7/27/1980,7/29/1980,0,8250,VI,NA,NA,NA,G,Lightning,NA,NA,NA,NA,NA,NA,NA,NA
1980,ANDESITE,,CDF,Siskiyou,NA,4/13/1980,4/14/1980,590,0,II,NA,NA,NA,TB,Debris,NA,NA,NA,NA,NA,NA,NA,NA
1980,ASSIST #138,,CITY,San Diego,NA,11/25/1980,11/25/1980,0,800,VI,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,ASSIST #69,,CITY,San Diego,NA,8/5/1980,8/5/1980,0,615,VI,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,ASSIST #73,1,CITY,San Diego,NA,8/10/1980,8/10/1980,0,350,VI,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,ASSIST #85,1,USFS,San Diego,NA,9/1/1980,9/2/1980,0,685,VI,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,BIG ANTELOPE,,CDF,Tehama-Glenn,NA,6/27/1980,6/28/1980,600,0,II,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1980,BIG BASIN #7,,CDF,San Mateo-Santa Cruz,NA,11/16/1980,11/19/1980,335,0,V,NA,NA,NA,TB,Campfire,NA,NA,NA,NA,NA,NA,NA,NA
1980,BOX,,CDF,Riverside,NA,7/13/1980,7/14/1980,800,0,VI,NA,NA,NA,BG,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1980,BUCKRIDGE,,CDF,San Benito-Monterey,NA,8/8/1980,8/9/1980,560,40,V,NA,NA,NA,WBG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1980,CAMPO AIRSTRIP,,CDF,Tehama-Glenn,NA,7/28/1980,7/28/1980,300,0,II,NA,NA,NA,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA
1980,CAPETOWN SERIES,,CDF,Humboldt-Del Norte,NA,10/8/1980,10/8/1980,505,0,I,NA,NA,NA,TBG,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1980,COXEY,,USFS,San Bernardino,NA,7/28/1980,7/29/1980,0,355,VI,NA,NA,NA,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA
1980,DAGGER,,USFS,San Bernardino,NA,4/11/1980,4/14/1980,0,750,VI,NA,NA,NA,B,Debris,NA,NA,NA,NA,NA,NA,NA,NA
1980,DAM,,NF,San Bernardino,NA,9/27/1980,9/29/1980,0,5800,VI,NA,NA,NA,B,Other Rec.,NA,NA,NA,NA,NA,NA,NA,NA
1980,DEL PUERTO CANYON,,CDF,Santa Clara,NA,7/30/1980,7/31/1980,1400,0,V,NA,NA,NA,WBG,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1980,DELL,,CDF,Riverside,NA,7/20/1980,7/20/1980,496,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1980,DOG BAR,,CDF,Nevada-Yuba-Placer,NA,10/7/1980,10/7/1980,360,0,II,NA,NA,NA,TWB,Misc,NA,NA,NA,NA,NA,NA,NA,NA
1980,DRY FALLS,,CITY,Riverside,NA,8/26/1980,9/6/1980,22820,5835,VI,NA,NA,NA,B,Play W/Fire,6,NA,NA,NA,NA,NA,NA,NA
1980,EABY,,CDF,San Bernardino,NA,7/12/1980,7/12/1980,366,0,VI,NA,NA,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1980,FAIRVIEW,,BLM,San Bernardino,NA,7/27/1980,7/30/1980,0,11140,VI,NA,NA,NA,G,Lightning,NA,NA,NA,NA,NA,NA,NA,NA
1980,GEHRICKE,,CDF,Sonoma,NA,10/3/1980,10/4/1980,644,0,I,NA,NA,NA,TWBG,Smoking,NA,NA,NA,NA,NA,NA,NA,NA
1980,HIGHLAND SPRINGS,,CDF,Lake-Napa,NA,10/7/1980,10/8/1980,650,0,I,NA,NA,NA,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1980,HILL,,CC,San Bernardino,NA,10/28/1980,10/29/1980,0,8700,VI,NA,NA,NA,B,Campfire,NA,NA,NA,NA,NA,NA,NA,NA
1980,HORSE,1,USFS,Riverside,NA,9/16/1980,9/18/1980,20,600,VI,NA,NA,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1980,INDIAN,,CDF,Riverside,NA,11/24/1980,12/2/1980,1280,36920,VI,NA,NA,NA,BG,Arson,7,NA,NA,NA,NA,NA,NA,NA
1980,JAUNARENA,,CDF,Humboldt-Del Norte,NA,10/2/1980,10/3/1980,347,0,I,NA,NA,NA,TBG,Debris,NA,NA,NA,NA,NA,NA,NA,NA
1980,JONES,,USFS,San Bernardino,NA,10/19/1980,10/20/1980,0,780,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1980,KIOWA,,CDF,San Bernardino,NA,7/24/1980,7/25/1980,640,1600,VI,NA,NA,NA,B,Lightning,11,NA,NA,NA,NA,NA,NA,NA
1980,LAKELAND FIRE,,CDF,Riverside,NA,11/25/1980,11/28/1980,8400,0,VI,NA,NA,NA,B,Arson,4,NA,NA,NA,NA,NA,NA,NA
1980,LAVIDA,1,USFS,Riverside,NA,7/27/1980,7/29/1980,300,8000,VI,NA,NA,NA,B,Play W/Fire,NA,NA,NA,NA,NA,NA,NA,NA
1980,LIGHTNING SERIES,,CDF,Siskiyou,NA,7/28/1980,7/30/1980,540,0,II,NA,NA,NA,TBG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA
1980,LIGHTNING SERIES,1,CDF,San Diego,NA,7/28/1980,8/3/1980,7436,0,VI,NA,NA,NA,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA
1980,LINK,,CDF,Riverside,NA,6/21/1980,6/22/1980,725,0,VI,NA,NA,NA,BG,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1980,LITTLE ROCK,,USFS,San Bernardino,NA,7/4/1980,7/6/1980,0,1060,VI,NA,NA,NA,B,Fireworks,NA,NA,NA,NA,NA,NA,NA,NA
1980,MANN,,CDF,Humboldt-Del Norte,NA,8/2/1980,8/2/1980,950,0,I,NA,NA,NA,TBG,Smoking,NA,NA,NA,NA,NA,NA,NA,NA
1980,MICHIGAN BAR,,CDF,Amador-El Dorado,NA,7/29/1980,7/30/1980,755,0,IV,NA,NA,NA,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA
