FID,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,OBJECTID_1,EXPECT_MAT,Year_rb,Fire_me_rb,Expect_m_1,Region_rb,DPA_rb,Ranger_uni,Ranger_u_1,Start_rb,Contained_,CDF_acres_,Other_acre,Total_acre,Veg_type_r,Cause_rb,Destroyed_,Incident_n,tiol_fores,County_rb,County2_rb,County3_rb,Fire_me2_r,DPA2_rb,Damaged_st,Firefighte,Civilian_f,Total_dama,Damaged__1
1626,8255,1979,CA,CDF,HUU,BLUE CREEK,00000076,1979-06-08,,14, ,0,363.9249878,0,1,00000054,5600.781145,1472754.161,8255,0,1979,BLUE CREEK, ,I,CDF,Humboldt-Del Norte, , , ,363,0,363,T,Equipment use,0, , , , , , , , ,0,0,0,0
1654,8305,1979,CA,USF,TNF,FLASH,00000000,1979-09-24,1979-09-25,7, ,35,30.12409973,0,1,00000061,1539.635066,121907.9573,8305,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1655,8306,1979,CA,CCO,VNC,CONEJO GRADE,00000000,1979-11-30,,14, ,0,150.1239929,0,1,00000000,3478.84539,607530.8573,8306,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1656,8307,1979,CA,CCO,VNC,SUSANA AIRPORT,00000000,1979-05-01,,14, ,0,131.3240051,0,1,00000000,3550.077022,531449.7848,8307,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1657,8308,1979,CA,CDF,BEU,HERNANDEZ,00001285,1979-08-03,,14, ,0,39.7220993,0,1,00000339,1691.49174,160749.4607,8308,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1658,8309,1979,CA,CDF,BEU,KAUPP,00000507,1979-05-18,,14, ,0,1608.76001,0,1,00000079,14117.74705,6510427.476,8309,0,1979,KAUPP, ,V,CDF,San Benito-Monterey, , , ,1788,0,1788,BG,Smoking,0, , , , , , , , ,0,0,0,0
1659,8310,1979,CA,CDF,BEU,LLANADA,00000610,1979-05-30,,14, ,0,640.0089722,0,1,00000111,9074.008324,2590024.237,8310,0,1979,LLANDA, ,V,CDF,San Benito-Monterey, , , ,587,0,587,WBG,Equipment use,0, , , , , , , , ,0,0,0,0
1660,8311,1979,CA,CDF,BEU,MAGGINI,00000950,1979-07-03,,14, ,0,353.197998,0,1,00000222,5676.659669,1429339.736,8311,0,1979,MAGGINI, ,V,CDF,San Benito-Monterey, , , ,580,0,580,WBG,Equipment use,0, , , , , , , , ,0,0,0,0
1661,8312,1979,CA,CDF,BEU,MORAZOLLI,00001120,1979-07-18,,14, ,0,488.3259888,0,1,00000285,6534.695411,1976186.939,8312,0,1979,MORAZOLLI, ,V,CDF,San Benito-Monterey, , , ,469,0,469,B,Equipment use,0, , , , , , , , ,0,0,0,0
1662,8313,1979,CA,CDF,BEU,OIL WELL CANYON,00001940,1979-10-29,,14, ,0,530.5009766,0,1,00000539,5796.629544,2146860.568,8313,0,1979,OIL WELL CANYON, ,V,CDF,San Benito-Monterey, , , ,584,0,584,BG,Misc,0, , , , , , , , ,0,0,0,0
1663,8314,1979,CA,CDF,BEU,SWAIN VALLEY,00001201,1979-07-25,,14, ,0,443.9840088,0,1,00000308,6462.770139,1796738.039,8314,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1707,8402,1979,CA,CCO,LAC, ,00000000,1979-09-07,,14, ,0,2.483109951,0,1,00000000,419.97357,10048.77871,8402,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1708,8403,1979,CA,CCO,LAC, ,00000000,1979-06-04,,14, ,0,33.86500168,0,1,00000000,2890.000132,137046.6214,8403,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1709,8404,1979,CA,CCO,LAC, ,00000000,1979-09-19,,14, ,0,59.76869965,0,1,00000000,2240.982563,241875.2191,8404,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1710,8405,1979,CA,CCO,LAC, ,00000000,1979-07-09,,14, ,0,45.74810028,0,1,00000000,2494.159198,185135.8403,8405,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
