FID,OBJECTID,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,EXPECT_MAT,Year_rb,Fire_me_rb,Expect_m_1,Region_rb,DPA_rb,Ranger_uni,Ranger_u_1,Start_rb,Contained_,CDF_acres_,Other_acre,Total_acre,Veg_type_r,Cause_rb,Destroyed_,Incident_n,tiol_fores,County_rb,County2_rb,County3_rb,Fire_me2_r,DPA2_rb,Damaged_st,Firefighte,Civilian_f,Total_dama,YEAR1,WUI_area
108,5906,CA,USF,LPF,PAINT,00000000,1990-06-27,1990-07-03,7, ,4267,4424.879883,8,1,00000024,24401.73968,17906863.72,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,3058.19566
109,5908,CA,CCO,SBC,CEBRIAN,00000000,1993-08-17,,14, ,0,645.1619873,0,1,00000000,7262.02255,2610879.91,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1993,45.50851
110,5963,CA,CCO,MRN,RUBICON,00001417,1988-10-09,,14, ,0,207.1609955,0,1,00000049,4690.303119,838349.2227,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1988,0.64991
111,5964,CA,CCO,MRN,IDLEBERRY,00000877,1988-07-03,,14, ,0,110.8939972,0,1,00000023,3190.573935,448772.0856,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1988,5.66135
112,5996,CA,CDF,SHU,TAMARACK,00003298,1986-08-27,,3, ,0,438.8890076,0,1,00000431,6971.711614,1776121.563,0,1986,TAMARACK, ,II,CDF,Shasta-Trinity, ,8/27/1986,8/27/1986,450,0,450,T,Smoking,0, , , , , , , , ,0,0,0,1986,3.65657
113,6021,CA,CCO,LAC,PICO FIRE,00927329,1989-07-14,,14, ,0,84.94819641,0,1,00000089,4541.154843,343772.9599,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1989,81.27401
114,6022,CA,CCO,LAC,BLACK FIRE,00827519,1989-10-29,,14, ,0,169.5310059,0,1,00000089,5101.530326,686066.0008,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1989,23.55897
115,6023,CA,CCO,LAC,TERREBONNE FIRE,00728659,1989-11-19,,14, ,0,207.2769928,0,1,00000089,3642.775105,838819.4192,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1989,152.42347
116,6024,CA,CCO,LAC,PACIFIC FIRE,00829919,1989-10-29,,14, ,0,3180.399902,0,1,00000089,19618.14545,12870635.97,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1989,16.91594
117,6025,CA,CCO,LAC,ONYX FIRE,00681467,1989-07-28,,14, ,0,326.2969971,0,1,00000189,6112.375338,1320478.074,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1989,82.79508
